Epoch,Train Loss
1,0.1794292124418112
2,0.1848828483086366
3,0.16832166337049925
4,0.17633313628343436
5,0.16465120361401483
6,0.16216600514375246
7,0.15960312004272753
8,0.16074540867255285
9,0.1615022329183725
10,0.16132002954299635
11,0.15665384324697348
12,0.158391433266493
13,0.1575497457614312
14,0.15271245860136473
15,0.1540018652494137
16,0.1549872228732476
17,0.15257247250813705
18,0.15263158426834986
19,0.15579620347573206
20,0.15535641003113526
21,0.15133866782371813
22,0.15559076288571724
23,0.15280736982822418
24,0.1516730235173152
25,0.15495054423809052
26,0.15217771094578963
