Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,12.8758,6.71,16.1426,3.1771,208.158,18.1947,18.0422,1.4562916061172204e+20
Timer,37.3046,7.5394,16.4164,3.7714,173.7881,7.4583,17.6966,3.105714559957074e+19
TimesFM,26.6011,6.0398,23.0507,3.2868,171.3465,4.7134,21.1642,1.6272194847480218e+19
Morai,11.5348,9.9079,18.4476,6.4998,75.6778,10.5417,20.2862,3.3278014776777114e+19
Chronos,15.776,6.3065,14.7764,2.9337,97.697,5.141,12.756,4.2798892120119706e+19
My-MoE,15.1817,6.0302,22.744,3.2521,172.7132,8.501,15.1132,5.7608970148878746e+19
