Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,18.0447,11.1634,29.8227,4.9957,43.1078,9.8802,85.134,2.2029497146540032e+18
Chronos,17.415,9.1306,37.7897,3.604,14.8222,6.9687,107.5013,0.0
TimesFM,14.9811,9.5332,35.4695,3.9008,31.306,7.0058,98.4876,0.0
Timer,14.5657,9.2343,32.1972,4.5355,38.3052,9.6698,103.0548,1.3210268209250304e+18
Time-MoE,15.2953,8.8957,35.9133,6.1446,66.0495,17.7787,98.6674,1.4331965490593792e+18
My-MoE,14.9354,9.4378,32.9025,5.1086,88.2697,7.8581,96.9476,6.746689247379456e+17
Mean Foundation Models,14.7859,9.3901,30.6461,4.3548,37.7668,9.4272,98.569,6.553249825947648e+17
