Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,4.4437,5.0901,20.0094,6.0097,17.399,7.7857,14.2067,1.791482398769152e+17
Time-MoE,6.155,8.0678,27.1832,3.9149,16.9654,8.5936,22.1843,2.78964434108416e+17
TimesFM,7.7281,5.5673,13.6418,3.9689,18.3325,6.6761,10.6299,0.0
Timer,6.0196,5.3477,29.4689,3.284,16.5157,8.5714,9.4338,1.12722851135488e+16
Chronos,4.9062,4.6632,12.6862,5.0189,21.4784,7.9748,12.3182,0.0
My-MoE,6.5741,5.505,21.8752,3.3312,78.0674,7.0361,22.7656,1.1304491362025472e+18
Mean Foundation Models,4.2184,5.5808,19.7989,4.4393,17.9832,7.6013,12.5731,1.05269077999616e+16
