Epoch,Train Loss
1,0.3031531400405444
2,0.29279162218937504
3,0.2933641167787405
4,0.3039344067756946
5,0.2927655680821492
6,0.2849747928289267
7,0.2946084691927983
8,0.2765065569144029
9,0.28893614273804885
10,0.28078554226801944
11,0.28171142362631285
12,0.27154428454545826
13,0.2803657903121068
14,0.2735516612346356
15,0.27012803233586824
16,0.27920884925585526
17,0.28023515756313616
18,0.2730637616836108
19,0.27862645571048444
20,0.26921860529826236
21,0.26840436917084914
22,0.27914560987399173
23,0.26158897693340594
24,0.2648594814997453
25,0.2731477159720201
26,0.2676180876218356
27,0.2758651731105951
28,0.27424673621471113
29,0.2733974846509787
30,0.2788791713806299
