Epoch,Train Loss
1,0.3077513094131763
2,0.2973619963114078
3,0.2892006876376959
4,0.2838764557471642
5,0.29555547352020556
6,0.2837201895622107
7,0.2759085320509397
8,0.27565606511556184
9,0.28805914177344394
10,0.29300153943208546
11,0.2914697298636803
12,0.2774468809366226
13,0.28423184156417847
14,0.27803937746928287
15,0.27457199876125044
16,0.2815651916540586
17,0.28299598625073064
18,0.28290532758602727
19,0.26994343675099886
20,0.2845627757219168
21,0.2676478727505757
22,0.2876154837700037
23,0.27715928164812237
24,0.26837122211089504
25,0.270560689843618
26,0.2804683515658745
27,0.27580111760359544
28,0.27406968634862167
29,0.2763921320438385
30,0.2745322779967235
31,0.2761420802428172
