,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,20.1502,8.3139,36.2426,3.8724,2798.1377,5.5187,15.9754,2.3569079713398784e+18
1,Chronos,17.7284,6.5634,45.4337,2.6526,2323.0677,3.2691,5.9524,0.0
2,TimesFM,17.6224,14.0318,35.5373,2.5247,1372.3385,5.3964,8.0652,0.0
3,Timer,18.7806,8.9441,62.9326,2.2533,3116.1102,2.9085,15.2766,4.581470390924083e+18
4,Time-MoE,16.7757,13.1268,52.7165,5.5402,2627.0903,5.8941,19.7376,1.5833122058797056e+18
5,My-MoE,18.1209,7.1523,42.9637,2.611,1416.4746,4.157,5.246,1.722482272763904e+17
6,Mean Foundation Models,17.1159,9.7211,43.9586,2.5074,2447.349,3.485,11.7554,9.297635680714752e+17
