,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,24.7143,6.7263,23.7314,4.3736,72.0794,9.0644,27.5198,4.560445667016704e+18
1,Chronos,18.0389,5.5975,35.4802,4.2353,65.9825,4.9983,32.5644,1.8146260447920128e+18
2,TimesFM,6.9852,7.5742,31.926,3.595,77.6194,4.8111,26.4393,2.546226049528627e+18
3,Timer,8.5551,8.9822,38.2784,2.4428,128.6628,5.2024,27.5814,5.435583478785638e+18
4,Time-MoE,6.5995,10.9835,27.9382,8.0904,100.0541,10.365,19.0634,7.893714380364186e+18
5,My-MoE,6.3749,6.2274,32.3934,4.3865,125.4612,4.4953,26.9841,4.190051123383501e+18
6,Mean Foundation Models,9.5854,7.217,29.4459,1.9903,88.6595,6.1126,23.8888,4.4501191240974336e+18
