Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,12.8758,6.71,16.1426,3.1771,208.158,18.1947,18.0422,1.4562916061172204e+20
Timer,31.1038,9.3092,18.6205,3.2519,83.5396,6.4045,19.8934,1.7352671180200346e+19
TimesFM,26.6011,6.0398,23.0507,3.2868,171.3465,4.7134,21.1642,1.6272194847480218e+19
Morai,11.1318,8.9787,19.3284,6.9159,82.8935,11.1752,19.4983,1.9705722270908416e+19
Chronos,15.776,6.3065,14.7764,2.9337,97.697,5.141,12.756,4.2798892120119706e+19
My-MoE,15.6688,6.187,14.1981,2.939,78.0944,5.3093,15.0825,3.784519022804992e+18
