Epoch,Train Loss
1,0.1020754690353687
2,0.09931906140767612
3,0.1006365051636329
4,0.09840073379186484
5,0.10460190933484298
6,0.10256856565292065
7,0.09928612984143771
8,0.09802074730396271
9,0.09958485685862027
10,0.09769687400414394
11,0.09735139459371567
12,0.09764316907295814
13,0.09650492324278905
14,0.09639248481163612
15,0.09715039626910137
16,0.09748383554128501
17,0.09473812923981594
18,0.09562349090209374
19,0.09227144087736423
20,0.09440378042367789
21,0.09560174323045291
22,0.09548673893396671
23,0.09434929490089417
24,0.0968267573760106
