Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,30.8286,12.5382,33.2533,2.7872,141.7095,16.8527,30.1281,2.452545382509445e+19
Timer,32.4396,16.0449,31.8196,3.0593,72.6548,6.8018,75.0787,82.96
TimesFM,26.7695,20.4842,13.5419,2.7633,239.9275,4.7493,11.5215,2.768506068978893e+18
Morai,23.4489,20.8322,22.584,8.9314,43.3271,10.9469,18.6084,1.10341583894741e+19
Chronos,23.2547,12.2373,17.8981,2.8366,72.7528,4.3411,15.8448,3.689273828048896e+18
My-MoE,24.1444,14.3135,16.5048,2.8255,216.0778,4.9557,10.3831,4.910533605274419e+18
