Epoch,Train Loss
1,0.09948246066386883
2,0.09426348599103782
3,0.0950294710122622
4,0.09450492434776746
5,0.09293524061258022
6,0.0907685779608213
7,0.0910530835390091
8,0.09016848985965435
9,0.09123189518084893
10,0.08950177895335051
11,0.0903649519269283
12,0.09001815605622071
13,0.09047285238137612
14,0.09001419578607266
15,0.08941190861738645
16,0.08914254204585002
17,0.08943622845869797
18,0.0896902485535695
19,0.0915111767557951
20,0.08976909690178357
21,0.08996551483869553
22,0.08960288763046265
23,0.08831476076291157
24,0.0902156549004408
25,0.08967009702554116
26,0.0886135846376419
27,0.08929776744200633
28,0.08896964444563939
29,0.08945203056702247
30,0.08862162496034916
31,0.08922648085997655
32,0.08846018692621818
33,0.08916902656738575
