Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,30.8286,12.5382,33.2533,2.7872,141.7095,16.8527,30.1281,2.452545382509445e+19
Timer,28.6197,15.739,17.2803,5.0888,676.5901,7.4681,17.95,2.0137967779577856e+18
TimesFM,26.7695,20.4842,13.5419,2.7633,239.9275,4.7493,11.5215,2.768506068978893e+18
Morai,23.8442,19.8683,21.518,9.5153,40.1386,11.1066,18.6632,1.1944554017272627e+19
Chronos,23.2547,12.2373,17.8981,2.8366,72.7528,4.3411,15.8448,3.689273828048896e+18
My-MoE,25.3541,14.6342,16.1963,2.792,138.1558,4.8744,14.8268,2.72419575037952e+18
