Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,15.9324,11.4617,18.3766,4.0765,42.2899,5.1649,2.8383,1.1269792321241088e+19
Timer,16.0754,5.6381,18.1864,4.1553,52.5593,2.2474,10.1706,1.0738563278281114e+19
TimesFM,20.3817,12.0695,14.3202,3.4487,24.8634,3.2497,2.7098,1.7367976725656371e+19
Morai,10.6668,13.6733,14.6049,11.3292,41.8506,9.7824,6.9454,3.9263522432168755e+19
Chronos,11.3912,12.0747,15.4467,3.4789,31.0073,1.5979,3.7256,3.343532396694733e+19
My-MoE,20.3817,13.783,13.2644,3.1199,46.9867,1.8342,3.0119,1.99370771267584e+18
