Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,21.5801,20.7225,14.4881,2.1017,28.123,20.6087,21.735,4.238031062040576e+18
Timer,13.8938,19.5241,13.9344,2.6529,42.2546,4.5749,31.9936,6.260362799008973e+18
TimesFM,20.659,19.6023,12.6897,2.1898,41.8634,3.7432,17.865,2.935760255922995e+18
Morai,32.7285,20.3406,11.2637,8.6524,30.8274,10.2206,20.6371,3.5712045328367616e+18
Chronos,36.8384,20.7324,11.1103,3.2609,17.8359,3.399,14.9856,86.2761
My-MoE,27.9595,20.6577,12.1541,2.3875,19.3445,4.6494,18.585,3.631567935950029e+18
