Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,21.5801,20.7225,14.4881,2.1017,28.123,20.6087,21.735,4.238031062040576e+18
Timer,18.124,25.0885,14.6645,2.2139,33.8054,7.3388,24.0994,6.999115212783616e+18
TimesFM,20.659,19.6023,12.6897,2.1898,41.8634,3.7432,17.865,2.935760255922995e+18
Morai,32.7698,19.5348,13.4641,7.5716,25.0939,10.4991,19.1286,1.0540715609790874e+19
Chronos,36.8384,20.7324,11.1103,3.2609,17.8359,3.399,14.9856,86.2761
My-MoE,20.659,20.7225,10.2206,3.3089,21.6305,20.6087,21.7351,3.629121468891136e+17
