Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,52.7928,5.2273,4.0411136834666496e+18,3.4621,3.322307312562995e+18,6.396,10.9021,5.209508640980992e+17
Time-MoE,38.4864,20.843,3.609193303821517e+18,4.5391,1.80016910434304e+17,9.0961,17.2378,9494651836825600.0
TimesFM,52.7481,5.5742,3.5556900372217856e+18,3.0854,1451412579942400.0,3.6483,11.3323,944794343833600.0
Timer,32.5855,3.2107,4.681899181709722e+18,3.7175,8.9341762207744e+16,5.357,13.9021,1.48050005721088e+16
Chronos,38.0528,4.1973,2.9613870372880384e+18,3.1291,6788348064563200.0,4.5278,11.6769,0.0
My-MoE,38.4863,5.5742,3.5556900372217856e+18,3.2659,1.80014964277248e+17,5.3415,13.9021,9494712234803200.0
Mean Foundation Models,40.2739,4.7657,3.769856863449907e+18,3.4101,7.184424261124096e+17,3.6775,11.2577,1.077727486541824e+17
