Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.3874,4.5833,24.4886,3.2824,97.5666,15.1992,10.9749,1.303614916132864e+19
Timer,22.903,3.7076,13.8619,7.1062,84.2606,5.7054,4.946,4.747929579421696e+18
TimesFM,8.6613,2.9196,13.8802,3.1547,51.3437,4.0311,4.018,2.084032619741184e+17
Morai,6.0479,3.9777,18.6312,6.6866,24.4481,11.224,4.5199,3.406406208192512e+18
Chronos,3.2799,3.8352,16.4546,2.7325,40.0043,4.6309,3.8582,4.4405241671581696e+18
My-MoE,5.8946,3.8661,13.5393,2.8448,33.285,4.3177,3.6436,3.111874530902016e+18
