Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,10.2219,9.6717,30.6975,7.8035,94.5742,19.6479,7.1341,1.7942334326964224e+18
Timer,12.0879,6.9377,22.5851,7.5388,54.1858,6.7001,5.8431,368.0855
TimesFM,10.1061,8.8275,18.4167,4.3048,65.7105,3.2424,6.2851,5.69826464497664e+17
Morai,14.2464,7.6528,36.5042,7.8082,26.7655,8.6599,6.9618,1.285260373393408e+18
Chronos,10.2822,9.0223,26.261,4.7106,38.4829,4.206,6.8837,6.952761778241536e+17
My-MoE,9.7826,7.5232,30.6976,8.7211,94.5735,7.4205,6.3617,2.527319012933632e+17
