Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,22.9067,7.8648,14.8214,7.219,19.7336,7.0655,22.9959,43.9716
Time-MoE,23.4157,31.0135,21.5023,4.3472,122.3721,26.5361,7.5512,92.353
TimesFM,34.0051,7.2298,28.5176,4.2739,49.0966,2.7372,15.2234,29.3827
Timer,36.4882,14.04,19.5996,3.7425,75.2322,6.0702,10.9552,44.8033
Chronos,23.8639,7.2036,19.0496,4.4716,15.9754,4.094,23.3872,37.7515
My-MoE,37.8161,24.0996,25.4646,6.9918,331.9246,16.9926,18.478,433.0438
Mean Foundation Models,25.4939,10.4284,17.8605,4.3267,55.3764,5.8158,13.8919,47.9693
