Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,10.8518,7.1897,17.1586,4.9193,34.4027,3.2515,4.563,5.600802280728166e+18
Timer,11.4274,8.1531,20.8204,7.355,59.6599,2.9779,20.8544,5.225025713576346e+18
TimesFM,14.98,7.2719,13.7513,4.1359,41.0596,2.7118,2.8119,1.4633510205233562e+19
Morai,4.5124,9.6359,15.6991,9.2908,23.8004,0.7909,7.1766,33.3333
Chronos,6.4695,7.5967,15.2773,4.9364,28.2855,2.1466,3.9333,33.3333
My-MoE,8.9288,8.192,15.4802,4.5318,35.2113,2.6825,4.7921,5.766572126974771e+18
