Epoch,Train Loss
1,0.08662800318919696
2,0.0784009970151461
3,0.08092923691639534
4,0.078892782330513
5,0.07744230329990387
6,0.07639427196521026
7,0.07638348524387066
8,0.07616958996424308
9,0.07620485929342416
10,0.07702301471279217
11,0.07601464081269044
12,0.07548012498479623
13,0.07516772672533989
14,0.07683020772842261
15,0.07559076008888391
16,0.0759914041711734
17,0.07588179753376888
18,0.07465805056003424
19,0.07513272991547218
20,0.07578609482600139
21,0.07530535929478131
22,0.07427888936721362
23,0.07530167011114267
24,0.07596290856599808
25,0.07589405660445873
26,0.07392447298535934
27,0.07521889817256194
28,0.07523391166558632
29,0.07487092253107291
30,0.07494300259993626
31,0.07602178878509082
