Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,29.9706,5.8861,17.1471,4.6296,284.649,10.9335,7.5439,1.37117636231168e+18
Time-MoE,39.1833,11.8067,16.9813,6.3863,440.4116,12.5782,4.2925,2.7849272321900544e+18
TimesFM,38.1245,4.9901,18.2642,3.0221,42.2888,7.4805,3.1458,5.50557529931776e+16
Timer,38.8742,4.2782,17.5505,6.2495,666.3004,11.0277,7.1106,5.114412696338432e+17
Chronos,36.7542,4.4724,19.2843,4.0495,104.309,9.3659,9.6481,0.0
My-MoE,26.8153,28.4577,34.4503,14.7352,2620.5904,24.4516,15.8602,6.1628485730304e+19
Mean Foundation Models,36.5814,5.2438,17.1363,4.4968,290.9609,10.2323,3.5072,4.684482175041536e+17
