Epoch,Train Loss
1,0.327018487911958
2,0.3023250928291908
3,0.31858004285739017
4,0.3247011716549213
5,0.3179973042928256
6,0.31656256088843715
7,0.3187537078674023
8,0.34593794437555164
9,0.3057683545809526
10,0.3149506335075085
11,0.30605608224868774
12,0.2873320121031541
13,0.29371644212649417
14,0.3006402345804068
15,0.2899400523075691
16,0.2790911358136397
17,0.2636063832503099
18,0.29960867762565613
19,0.2846665451159844
20,0.2945994711839236
21,0.2753574916949639
22,0.2643878138982333
23,0.2730879577306601
24,0.273835512307974
25,0.2691800892353058
26,0.2788675037714151
27,0.2677376430768233
