Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,22.239,5.4771,60.6926,3.7192,3783.5495,4.1688,10.6346,1.3794347254284288e+18
Time-MoE,21.7671,7.8184,73.2237,3.311,5286.9862,6.0726,17.6058,5.68195517775872e+16
TimesFM,21.597,7.9712,58.3607,2.2855,1539.949,6.3979,6.1955,0.0
Timer,19.7597,4.7239,72.7607,2.9014,18347.937,3.0487,30.3893,7.32698536574976e+16
Chronos,23.188,4.2965,64.3734,2.1494,2188.9112,3.6381,5.46,0.0
My-MoE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Mean Foundation Models,21.7101,5.1832,64.6925,2.2084,6229.4674,3.6672,10.5094,0.0
