Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,27.9034,5.0025,51.6416,4.7671,6.429332670769005e+20,13.0553,9.8322,1.405784714861609e+19
Time-MoE,17.1357,11.9003,56.657,4.0268,1.1139500193349632e+19,10.0696,11.3925,3.2497725734282854e+19
TimesFM,21.1679,4.8164,54.7453,4.0851,6.022647096593613e+19,10.0749,4.852,5.56457405710336e+16
Timer,16.8317,4.9164,50.4741,3.5431,2.403733079190405e+19,10.7989,2.8784,4.354379578605568e+17
Chronos,19.5835,5.0395,50.9685,4.669,9.759640588281446e+18,8.5279,8.2912,3.28420982521856e+17
My-MoE,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Mean Foundation Models,18.4346,4.879,51.6847,4.2042,1.4861948864188908e+20,10.5053,5.2366,9.437914037066138e+18
