Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,10.9335,7.6582,9.82571436516311e+18,5.5437,272.1394,9.3416,23.4033,8.249028542201856e+17
Time-MoE,13.5496,14.6927,6.684903136349389e+18,3.9738,100.0,5.1281,24.5359,3.256818724975411e+18
TimesFM,9.9261,6.6598,6.932637708976128e+18,3.9104,95.9553,3.017,23.8815,0.0
Timer,45.5975,7.4845,3.7931695164358656e+18,4.4351,596.6773,5.2998,28.1854,1.7317674283433984e+18
Chronos,11.0519,5.111,4.2696222644895744e+18,4.3242,77.9879,5.4546,31.3601,0.0
My-MoE,100.0,100.0,50.0,100.0,100.0,100.0,100.0,0.0
Mean Foundation Models,15.638,5.7524,6.301209655980851e+18,4.294,94.2969,4.6829,24.9614,3.512094347493376e+17
