Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,18.0374,5.4037,16.1952,3.5808,96.6956,9.4606,13.5202,685.8408
Timer,27.4281,7.2951,19.2462,4.9802,77.398,4.2337,11.6184,594.1583
TimesFM,21.4505,6.5579,24.3118,3.8141,62.8518,3.7815,10.5386,164.7912
Morai,11.9278,5.8679,12.8244,8.3418,34.5619,11.3692,11.157,273.9004
Chronos,17.8169,6.0987,16.9502,3.8779,51.6776,4.2001,6.8132,182.6732
My-MoE,21.4505,7.4651,16.1952,4.0338,56.3991,4.355,9.3594,85.8963
