Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,5.7519,5.3209,13.0869,2.273,34.8525,9.3207,8.3649,2.8308320144483942e+19
Timer,5.7984,4.8748,21.747,4.4899,25.775,8.933,31.1348,6.669857436414771e+18
TimesFM,8.017,5.7414,26.2377,2.5963,61.2984,7.8555,8.2071,1.883232520938455e+19
Morai,4.6658,5.0233,8.8913,5.8496,19.3667,12.5577,8.4466,1.1381594614923264e+19
Chronos,5.6662,5.9825,18.4492,3.3698,19.0539,8.7043,8.8847,3.884728512560497e+19
My-MoE,5.5446,6.6276,13.0869,4.8162,8.8568,9.7475,9.243,4.614064038739968e+18
