Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,13.2635,12.8739,22.8159,3.5982,21.4557,5.064,8.566,217.4307
Timer,18.691,6.3282,21.4079,3.8874,21.4578,3.7193,8.9002,630.6532
TimesFM,11.6144,10.7826,21.9791,3.3065,64.4814,4.3434,11.9973,322.8828
Morai,25.7833,9.0006,19.0461,8.1706,30.5168,12.4075,14.5652,637.0092
Chronos,19.3742,9.8168,19.6618,5.3198,33.7675,4.5019,4.0984,241.6117
My-MoE,19.7163,11.5495,16.3201,4.8978,20.3274,4.4261,13.1703,118.6473
