Epoch,Train Loss
1,0.28500842589598435
2,0.2711110802797171
3,0.2739685785311919
4,0.2730233050309695
5,0.27253152888554794
6,0.2697376310825348
7,0.2750551448418544
8,0.27034955070568967
9,0.2693137526512146
10,0.2713952339612521
11,0.2729332068791756
12,0.2717189777355928
13,0.2699112296104431
14,0.2697748392820358
15,0.2713938424220452
16,0.2718040037613649
17,0.2692938928420727
18,0.2711318467672055
19,0.2701180852376498
20,0.2702246938760464
21,0.27111939742014957
22,0.26938867225096774
23,0.2730355136669599
24,0.27055729581759524
25,0.2702618780044409
26,0.2688799294141623
27,0.265972484762852
28,0.26762224160707915
29,0.2637370354854144
30,0.26598024253661817
31,0.26429655116337997
32,0.2678405287174078
33,0.26912946425951445
34,0.2700127947788972
35,0.27272462844848633
36,0.26950257558089036
37,0.26376207860616535
38,0.26604172358146083
39,0.2651786941748399
