Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.5072,6.208,22.0177,2.8277,119.4949,12.326,12.013,1435.7623
Timer,38.8934,6.7856,18.7719,6.6555,77.6023,5.446,10.0633,744.3731
TimesFM,21.136,5.2966,18.8252,3.1609,101.3804,3.1517,14.2147,252.9736
Morai,11.243,7.8507,23.682,7.4134,38.2266,10.2399,13.8377,1615.0169
Chronos,13.9394,5.7881,20.7828,2.3372,62.2974,3.2183,7.7738,198.908
My-MoE,13.9777,5.7876,18.6988,3.3013,107.3499,4.0001,12.9029,1115.0329
