Epoch,Train Loss
1,0.10193452869470303
2,0.10445035650179936
3,0.1055578555052097
4,0.10703426943375514
5,0.09925744052116688
6,0.10679369362500998
7,0.10091122526388902
8,0.09883261070801662
9,0.10407342131321247
10,0.10248306909432778
11,0.1033602712246088
12,0.09837214935284394
13,0.10195091022894932
14,0.10381667373272088
15,0.10284338547633244
16,0.1079576829305062
17,0.10649234973467313
18,0.1045030693595226
19,0.10007513429109867
20,0.10286705597088887
21,0.10419794917106628
22,0.10143348861199158
