Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,15.7604,5.1118,26.6505,7.6195,49.7547,12.4991,18.4635,17.4627
Time-MoE,22.7097,6.2136,33.851,3.806,18.178,5.1136,5.3916,16.1008
TimesFM,26.9143,5.271,43.4635,3.4105,41.181,7.3919,13.2587,23.7272
Timer,36.3557,14.9516,39.8983,4.951,37.8456,7.1105,12.6538,15.4686
Chronos,21.0552,5.0899,43.2494,4.7309,54.5248,9.7612,17.4658,19.1193
My-MoE,26.834,28.8954,45.2962,7.2786,147.581,11.4741,9.4487,13.3795
Mean Foundation Models,24.5591,6.587,34.0285,3.9094,38.2424,8.0662,9.5142,13.9962
