Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,146.2995,8.991,3.4780660195393536e+18,7.6642,4.5935212101632e+18,10.5121,25.0142,1.0156535724376064e+18
Time-MoE,127.9248,4.8067,2.822845565711155e+18,2.1696,5.73546443046912e+16,7.7744,13.8788,5.3325089210368e+16
TimesFM,71.6698,4.2487,2.6952021441511424e+18,5.6058,3.18840655314944e+16,7.3853,19.1738,926100121190400.0
Timer,57.3984,6.1103,2.0842855664713728e+18,4.9182,1.422032935845888e+17,20.7334,20.8275,2.52236265422848e+16
Chronos,117.3315,5.974,2.976152275858227e+18,6.5844,8170531035545600.0,5.7544,18.3433,0.0
My-MoE,995.5456,28.1592,2.558234778088243e+18,10.2867,6.402884094656512e+17,41.2505,19.0302,1.081308281307136e+17
Mean Foundation Models,99.9821,4.816,2.811310357295923e+18,5.2832,9.65425970020352e+17,9.8112,19.1915,2.174522211958784e+17
