Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.5072,6.208,22.0177,2.8277,119.4949,12.326,12.013,1435.7623
Timer,18.2299,10.2277,23.5615,3.223,101.0466,4.0176,11.4697,1498.5779
TimesFM,21.136,5.2966,18.8252,3.1609,101.3804,3.1517,14.2147,252.9736
Morai,10.8558,7.6629,21.3878,7.1091,43.1374,10.6497,14.8284,515.9392
Chronos,13.9394,5.7881,20.7828,2.3372,62.2974,3.2183,7.7738,198.908
My-MoE,12.2297,5.6617,19.6626,2.6946,107.3934,3.2262,11.1357,810.6923
