Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,7.2864,6.8138,28.6939,2.8983,25.573,2.8374,6.8931,621.4529
Timer,9.1784,9.3806,38.95,3.9872,27.2848,3.6328,6.9264,658.1908
TimesFM,7.6134,6.8107,22.3167,3.3287,20.0451,2.6552,8.14,318.4038
Morai,10.0724,6.6167,31.3015,4.8435,28.2158,13.1115,7.167,283.4405
Chronos,11.1829,6.2788,27.1455,1.6171,15.0089,4.9749,6.7202,154.4625
My-MoE,7.8567,7.1602,23.4526,3.0765,21.686,3.0684,6.861,181.912
