Epoch,Train Loss
1,0.15925579346143282
2,0.16491185472561762
3,0.1609739179794605
4,0.15369272232055664
5,0.18308907747268677
6,0.16427489542044127
7,0.16868297641093916
8,0.15891085622402337
9,0.1634139338364968
10,0.17180404181663805
11,0.15869208941092858
12,0.14845913304732397
13,0.17625043426568693
14,0.15126618972191444
15,0.1709111206806623
16,0.15375826679743254
17,0.1655626308459502
18,0.17629026678892282
19,0.16630478317920977
20,0.16931434548818147
21,0.15561961554563963
22,0.15926835399407607
