Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,18.0374,5.4037,16.1952,3.5808,96.6956,9.4606,13.5202,685.8408
Timer,21.3508,8.9473,17.0834,4.3832,76.0331,4.0006,11.0596,737.1573
TimesFM,21.4505,6.5579,24.3118,3.8141,62.8518,3.7815,10.5386,164.7912
Morai,10.533,5.7767,21.6459,8.8757,36.4152,9.965,11.9851,712.7002
Chronos,17.8169,6.0987,16.9502,3.8779,51.6776,4.2001,6.8132,182.6732
My-MoE,18.0374,6.5579,16.1952,3.5808,71.1248,3.7815,10.5386,164.7912
