Epoch,Train Loss
1,0.27582429693295407
2,0.2664319322659419
3,0.26532156421588016
4,0.26500341525444615
5,0.2627074168278621
6,0.260297376375932
7,0.26103057311131406
8,0.2603715979135953
9,0.260114658337373
10,0.2582862354241885
11,0.2584963051172403
12,0.259908873301286
13,0.2583262347258054
14,0.2587159528182103
15,0.2574166403366969
16,0.25795062000934893
17,0.2585476338863373
18,0.26156937846770656
19,0.25901890718019926
20,0.25883930233808666
21,0.25803605639017546
22,0.2591733175974626
23,0.26091962365003735
24,0.25857484569916356
25,0.2569799216894003
26,0.2596251414372371
27,0.25674853875086856
28,0.25630484636013323
29,0.2589649558067322
30,0.25669285425773036
