Epoch,Train Loss
1,0.21053206691375145
2,0.1865994162284411
3,0.18978304014756128
4,0.1845632539345668
5,0.18565535774597755
6,0.18606222363618705
7,0.18566671243080726
8,0.18560385130918944
9,0.18691287017785585
10,0.1840090797497676
11,0.18505552525703722
12,0.18522163996329674
13,0.1835669966844412
14,0.18468099717910474
15,0.18618837801309732
16,0.18284635704297286
17,0.1854127267232308
18,0.18537301283616286
19,0.1841573314024852
20,0.18312666163994715
21,0.18216713919089392
22,0.18151225722753084
23,0.18486903263972357
24,0.18414325439012968
25,0.18231123915085426
26,0.18636726072201362
27,0.18136666371272162
28,0.1842886977470838
29,0.184043743289434
30,0.18141296047430772
