Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,5.7519,5.3209,13.0869,2.273,34.8525,9.3207,8.3649,2.8308320144483942e+19
Timer,5.8525,6.2645,13.1256,3.2624,20.4236,9.0719,9.1499,1.177514676322304e+19
TimesFM,8.017,5.7414,26.2377,2.5963,61.2984,7.8555,8.2071,1.883232520938455e+19
Morai,5.1575,5.5227,15.3722,6.3214,5.5115,12.0959,11.6842,9.063791118222623e+19
Chronos,5.6662,5.9825,18.4492,3.3698,19.0539,8.7043,8.8847,3.884728512560497e+19
My-MoE,6.7748,5.8405,13.0869,2.6622,34.8526,9.0101,7.9822,2.8307586564069786e+19
