Epoch,Train Loss
1,0.10976638186436433
2,0.09852972741310413
3,0.10452966907849678
4,0.10172660992695735
5,0.10007151273580697
6,0.09852106869220734
7,0.10504848452714774
8,0.10123348350708301
9,0.10395556459060082
10,0.09763725560445052
11,0.1003109967479339
12,0.0986390239917315
13,0.09853527293755458
14,0.0982256422822292
15,0.09831162026295295
16,0.09728987457660529
17,0.09749169876942268
18,0.09702277928590775
19,0.09928786296110886
20,0.10072745783970906
21,0.0965745563690479
22,0.09617732579891498
23,0.0956958933518483
24,0.10444433872516339
25,0.09821527164715987
26,0.10330696403980255
27,0.10441069304943085
28,0.1022155754841291
29,0.10159919353631827
30,0.09992761967273858
