Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Moirai,58.605,8.161,24.5766,5.542,194.2934,7.4514,8.8225,7.744938431217664e+17
Chronos,61.7511,10.511,22.0724,2.8285,73.7687,3.2601,9.3529,0.0
TimesFM,57.5803,7.7414,20.6203,3.0436,67.3976,3.7102,5.2515,0.0
Timer,57.6661,5.8531,21.349,3.0478,127.6893,3.0444,4.7736,2.787625974890496e+17
Time-MoE,57.4589,4.9547,21.4688,2.83,498.9867,5.9117,5.4744,3.489883192557568e+17
My-MoE,50.7932,7.9997,20.3723,3.0061,453.2216,3.4847,5.4226,4.39876994465792e+17
Mean Foundation Models,58.6123,7.3086,20.8133,2.9275,133.2748,3.2589,5.1819,2.121470104829952e+17
