,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,17.6774,10.02,4.769628183697818e+18,4.839,1.7006539765815706e+19,11.0304,15.1181,7.053924149441331e+18
1,Chronos,21.9515,5.4713,3.3780373049573376e+18,4.7475,7.06634124886016e+16,3.5245,12.3382,1.26805780463616e+16
2,TimesFM,21.5938,7.4948,3.125483993772851e+18,4.0327,161061273600.0,5.1134,11.9112,3.13236763181056e+16
3,Timer,15.3695,6.5963,3.4642587734245376e+18,4.2423,1.25362243633152e+17,4.2334,25.9388,3.074231021600768e+17
4,Time-MoE,16.2171,13.8533,3.691648085970125e+18,4.7267,2725452028313600.0,3.714,22.9894,2.465137550163968e+17
5,My-MoE,17.2264,6.8933,3.111177457709875e+18,4.5303,2.088061701718016e+17,4.5013,17.8987,1.846923447238656e+17
6,Mean Foundation Models,16.0948,8.4673,3.6858116549115904e+18,4.4975,3.4048359681490944e+18,4.868,14.6718,1.5270542546305024e+18
