,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,110.3601,8.1863,2.575558474989568e+17,3.8555,5.894878347887903e+19,7.4008,49.3155,3.591265895579648e+18
1,Chronos,84.3861,6.5212,2.23492851105792e+17,3.7144,1.4260056785892147e+19,3.5772,43.3137,0.0
2,TimesFM,75.7192,10.7171,1.61016511987712e+17,3.8397,2.486065368871731e+19,3.3362,55.5193,6.03946154459136e+16
3,Timer,67.6254,7.4851,2.721238665396224e+17,4.6172,5.511499602722816e+19,3.8488,49.1873,1.268851048185856e+17
4,Time-MoE,76.7487,10.3365,2.716919270473728e+17,2.5619,7.155097343958712e+19,6.3825,52.4871,4.204463476703232e+17
5,My-MoE,76.782,7.0104,2.547038818402304e+17,5.1403,2.6817610869479834e+19,2.9541,55.2812,3.96574865752064e+17
6,Mean Foundation Models,82.9004,7.3552,2.371762276794368e+17,3.2679,4.494709045067776e+19,4.6861,49.7104,8.23408581410816e+17
