,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,10.4277,4.2776,35.7908,5.6219,2.8290403946106716e+20,4.8206,11.8811,1.96718628962304e+18
1,Chronos,11.5322,2.8111,35.8693,3.0187,2.4540395844518543e+20,6.6309,14.0619,5.793086248583168e+17
2,TimesFM,22.4852,4.3007,32.4434,2.7585,1.8401749583999795e+20,5.6706,9.3437,58.3333
3,Timer,14.627,3.0962,31.0653,3.2606,5.012147944472707e+20,12.8787,9.1112,2.761321232937779e+18
4,Time-MoE,14.0964,6.2206,31.1175,3.0018,4.486401066488824e+20,9.7196,9.6784,2.6829979945795584e+18
5,My-MoE,7.5748,2.9687,34.5304,2.9109,1.9308963500025446e+20,6.1512,9.2868,1.3167464565178368e+18
6,Mean Foundation Models,13.1929,3.245,32.6307,2.9368,3.3243610370749235e+20,4.5315,10.1273,1.544780014157824e+18
