,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,161.0217,9.5764,263.5692,5.0617,48.7267,13.061,25.8993,1.1655618897117184e+18
1,Chronos,141.5175,7.9614,143.7724,2.5386,100.0,7.3465,19.628,0.0
2,TimesFM,125.7119,8.8592,168.4517,2.2528,99.4618,6.6901,21.9631,0.0
3,Timer,105.303,10.588,204.991,2.0222,64.3407,11.3429,23.251,3.75425641480192e+17
4,Time-MoE,143.6013,10.7955,146.4542,3.4779,240.7475,10.0289,20.7991,4.722773955969024e+17
5,My-MoE,142.9316,7.8794,164.3933,2.2663,73.4702,6.061,22.1376,2.305694942363648e+17
6,Mean Foundation Models,135.4311,9.2568,183.6114,2.8522,53.0018,9.6937,22.236,3.311540044300288e+17
