,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,29.1009,22.4161,1.2800358892752077e+19,7.2089,35.2569,15.8643,55.8734,8.869468243492864e+17
1,Chronos,19.4942,18.3369,9.958281107734528e+18,6.7408,31.2684,12.494,49.5383,0.0
2,TimesFM,20.8654,17.4536,1.1294907572001178e+19,6.8676,62.768,10.7239,55.3503,3276773785600000.0
3,Timer,32.6403,19.6874,1.0170753139867648e+19,7.0706,205.952,7.9992,54.5485,4.655804248909414e+18
4,Time-MoE,30.3768,33.5988,1.0869539164966093e+19,7.636,100.2865,8.0614,56.4235,3.207542779936768e+18
5,My-MoE,18.6294,19.1996,1.093495495285801e+19,6.3548,97.9884,17.0535,55.6062,2.5529285607424e+16
6,Mean Foundation Models,19.0908,20.0363,1.1018766944672154e+19,7.1048,74.5744,10.8562,54.2695,9.513299947290624e+17
