,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,21.6359,5.1168,1.4723683687858176e+18,5.0206,2.9399342236823454e+21,5.5406,22.0391,9.789609152086016e+17
1,Chronos,31.3192,12.2198,1.156830113824768e+18,2.3624,3.2807579793301176e+21,3.496,19.1551,1.48030342823936e+16
2,TimesFM,20.04,15.6169,1.3573393735483392e+18,2.2443,2.3377147726703624e+21,3.6617,16.1095,1.788742209634304e+17
3,Timer,23.4443,14.6693,1.4457372093186048e+18,3.0307,2.2672006730555064e+21,4.0169,16.812,5.33545533571072e+18
4,Time-MoE,20.6,17.041,1.3213328373448704e+18,3.6914,3.2399916066093924e+21,8.3884,12.3828,2.5300776167407616e+18
5,My-MoE,22.306,12.2392,1.2888350746738688e+18,2.3958,3.224176891062439e+21,3.7106,21.1504,1.4381315738566656e+18
6,Mean Foundation Models,22.5166,12.8769,1.35072158056448e+18,2.8901,2.813119851069545e+21,4.7046,14.828,1.7529167063023616e+18
