,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,10.234,3.9655,161.9618,3.5487,1111.9888,7.6192,12.208,7.09270856311767e+18
1,Chronos,11.6299,3.9874,108.3543,2.1725,810.7594,3.8106,10.2285,0.0
2,TimesFM,9.6601,6.1804,117.3779,1.9523,962.2765,4.2817,9.0288,0.0
3,Timer,9.2073,4.9159,94.365,2.9021,1779.5116,3.1322,7.0478,9.09146823107543e+18
4,Time-MoE,9.5822,15.9076,134.9083,5.7828,1485.1806,9.5976,6.1512,3.264378941158195e+18
5,My-MoE,14.427,4.3735,112.9918,2.2327,961.8499,3.8308,14.1877,7.507558165748122e+18
6,Mean Foundation Models,9.8042,6.5621,122.8825,2.6002,1229.9434,4.7155,8.1794,2.680047781543936e+18
