,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,32.7202,4.6662,1.01032394752e+18,5.4943,7.034658214641664e+18,12.0857,15.0683,3.114447431060685e+18
1,Chronos,41.4003,9.7794,8.767093403025408e+17,2.8569,1.239853979140096e+18,5.2391,12.7431,0.0
2,TimesFM,41.1687,13.4676,8.287530239655936e+17,2.2687,6.899744701939712e+17,6.1539,30.6345,1.844316938960896e+17
3,Timer,43.2544,10.1519,1.1287736694603776e+18,3.0337,2.687050725720064e+18,6.7632,21.0292,3.243864244617216e+17
4,Time-MoE,40.702,16.3393,1.043708728311808e+18,4.9291,2.1088553563848704e+18,4.7195,20.7496,2.4940761271238656e+18
5,My-MoE,40.9765,10.173,9.001098790567936e+17,2.5411,1.3047480358797312e+18,6.3971,18.997,1.779208053325824e+17
6,Mean Foundation Models,39.2485,10.7353,9.776536345378816e+17,3.2837,2.752078463316787e+18,4.9403,18.0558,1.1870102047686656e+18
