,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,18.4356,7.7221,48.4771,3.4221,8.2264,6.2345,17.4588,1.1391473039704064e+18
1,Chronos,17.6702,5.6859,33.2354,3.373,4.6528,3.3337,19.4347,0.0
2,TimesFM,18.7034,5.884,35.1803,2.766,5.8095,2.9274,16.6503,0.0
3,Timer,19.0713,7.059,32.7929,2.5572,6.6577,2.9269,15.4011,1.1142920061059072e+18
4,Time-MoE,17.4106,12.6318,35.7669,15.3958,4.8019,42.0552,16.1274,2.18650879459328e+18
5,My-MoE,18.6064,6.3678,35.033,2.9815,6.0443,2.9318,16.7933,1.636892164489216e+17
6,Mean Foundation Models,15.6868,7.6645,36.3707,4.6041,5.8607,8.7948,16.0844,5.382647899488256e+17
