,Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
0,Moirai,21.1043,6.5797,26.1929,9.2018,1378.0961,10.147,45.5258,4.98555465802711e+18
1,Chronos,5.6705,6.1039,27.6052,2.1136,713.3951,6.1013,39.9424,9.635478881959936e+17
2,TimesFM,6.6087,5.1805,30.2726,2.1902,350.83,6.9941,53.5436,2.344566597563187e+18
3,Timer,6.4802,7.9787,29.434,2.4826,2942.4501,10.3665,48.0222,2.0095774020861952e+18
4,Time-MoE,6.0888,5.2932,28.221,1.6728,1209.8468,8.362,57.3453,9.67662574239744e+18
5,My-MoE,5.2804,5.1768,27.8122,2.1881,723.8989,7.6178,55.5527,5.258563395203891e+18
6,Mean Foundation Models,6.1978,5.6696,28.3451,3.1367,1313.4997,8.3942,48.6697,3.995974006682419e+18
