Epoch,Train Loss
1,0.14626381145073816
2,0.1466965789978321
3,0.14318041904614523
4,0.14260775767839873
5,0.14143484429671213
6,0.14134024714048093
7,0.13976934208319738
8,0.13949411305097434
9,0.14065244450018957
10,0.13906763264766106
11,0.13788782575955758
12,0.13898077779091322
13,0.13391894904466775
14,0.13718167061989123
15,0.1403355896472931
16,0.1397480397270276
17,0.13490982124438652
18,0.13829636459167188
19,0.13911311729596212
20,0.1398294516480886
21,0.13240885505309472
22,0.13495767689668214
23,0.13831119010081658
24,0.1376429142860266
25,0.13263399268572146
26,0.13391490853749788
27,0.13498884496780542
28,0.14078146104629224
29,0.13840712377658257
30,0.13821706691613564
