Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,15.9324,11.4617,18.3766,4.0765,42.2899,5.1649,2.8383,1.1269792321241088e+19
Timer,14.7122,10.2115,30.6291,4.005,45.6892,2.4858,26.5633,1.1143440396346982e+19
TimesFM,20.3817,12.0695,14.3202,3.4487,24.8634,3.2497,2.7098,1.7367976725656371e+19
Morai,9.8115,14.9748,13.3572,10.2777,42.9062,8.6103,6.6238,9.276286686776525e+18
Chronos,11.3912,12.0747,15.4467,3.4789,31.0073,1.5979,3.7256,3.343532396694733e+19
My-MoE,20.3817,13.783,20.3018,3.1199,41.4776,2.8338,2.7098,1.1270031121422746e+19
