Epoch,Train Loss
1,0.07239906203288299
2,0.07315371758662738
3,0.07151294642916092
4,0.07253354272017112
5,0.06939839113217133
6,0.06877023038955835
7,0.06813899169747646
8,0.06866164104296611
9,0.06740972571648084
10,0.06614843010902405
11,0.06773512466595723
12,0.06688256275195342
13,0.06521725368041259
14,0.06589737333930455
15,0.06643622683791015
16,0.06514761625574185
17,0.06494118961004111
18,0.0648495526267932
19,0.06621046221027008
20,0.06566102229631864
21,0.0656291959950557
22,0.06460281232228646
23,0.06418329935807449
24,0.06617045173278222
25,0.06410206825687335
26,0.06399488105223729
27,0.06437440474446003
28,0.06632782920048787
29,0.06391148441112958
30,0.06540025827976373
31,0.0631214569394405
32,0.06464799350270858
33,0.06494031330713859
34,0.06409572064876556
35,0.06393521107160129
36,0.06398470556506744
