Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.3874,4.5833,24.4886,3.2824,97.5666,15.1992,10.9749,1.303614916132864e+19
Timer,14.9116,2.6587,21.4162,6.993,82.9208,4.1799,3.9022,2.9340560128999424e+18
TimesFM,8.6613,2.9196,13.8802,3.1547,51.3437,4.0311,4.018,2.084032619741184e+17
Morai,5.8658,4.0564,16.4368,6.3957,30.7272,9.5506,4.7698,3.595503739810611e+18
Chronos,3.2799,3.8352,16.4546,2.7325,40.0043,4.6309,3.8582,4.4405241671581696e+18
My-MoE,11.3874,4.5833,16.1817,3.2824,110.4588,15.1996,10.9751,5.559011819441357e+18
