Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,18.0374,5.4037,16.1952,3.5808,96.6956,9.4606,13.5202,685.8408
Timer,26.0192,7.8755,16.8547,4.8207,72.8638,7.4001,9.9654,1001.2314
TimesFM,21.4505,6.5579,24.3118,3.8141,62.8518,3.7815,10.5386,164.7912
Morai,11.0879,6.9809,16.047,7.886,35.6401,10.5263,10.7505,1140.8379
Chronos,17.8169,6.0987,16.9502,3.8779,51.6776,4.2001,6.8132,182.6732
My-MoE,19.7394,6.6451,16.9342,4.0932,66.5523,4.0683,11.0433,371.7771
