Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.3874,4.5833,24.4886,3.2824,97.5666,15.1992,10.9749,1.303614916132864e+19
Timer,14.6016,11.7534,18.3166,4.7419,64.3098,4.996,5.7937,7.398082026353459e+18
TimesFM,8.6613,2.9196,13.8802,3.1547,51.3437,4.0311,4.018,2.084032619741184e+17
Morai,5.141,4.2766,17.7394,6.7196,36.1882,9.3296,4.1439,7.398228914234982e+18
Chronos,3.2799,3.8352,16.4546,2.7325,40.0043,4.6309,3.8582,4.4405241671581696e+18
My-MoE,5.9578,2.1815,15.8196,2.9103,24.8588,4.2123,3.6626,6.687229720133632e+17
