Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,5.4697,3.3997,17.8373,2.3914,38.597,9.4443,9.0079,4.701812368080896e+19
Timer,16.3066,5.1242,6.207,2.981,50.6044,7.8508,6.2919,2.6159049790088806e+19
TimesFM,9.1765,3.8836,32.2167,2.3244,48.3821,6.0511,7.4333,1.3798486099519078e+19
Morai,5.9402,3.569,24.2132,8.7526,21.4879,14.3023,9.1236,3.601113267746898e+19
Chronos,5.3447,4.494,22.8176,2.6999,18.163,6.822,8.5033,9.543079919081226e+19
My-MoE,5.4697,3.3997,17.8373,2.3914,38.5967,9.4443,9.0079,4.7017463973832294e+19
