Epoch,Train Loss
1,0.20430270639749673
2,0.19172823543731982
3,0.1974374560209421
4,0.18952804803848267
5,0.189121995980923
6,0.18395882844924927
7,0.18436089960428384
8,0.18047402799129486
9,0.1840407091837663
10,0.1806042458002384
11,0.17658694661580598
12,0.18739326412861163
13,0.18162102424181426
14,0.1796953804217852
15,0.1804963625394381
16,0.17786225905785194
17,0.17593488097190857
18,0.17218372569634363
19,0.17268293178998506
20,0.17208099021361425
21,0.17202493319144616
22,0.17128957234896147
23,0.17202896223618433
24,0.16993566774404967
25,0.17108092628992522
26,0.1705204936174246
27,0.16869033643832573
28,0.16904482933191153
29,0.16874502713863665
30,0.16818128067713517
