Epoch,Train Loss
1,0.2015627404818168
2,0.17785252745334917
3,0.20857072105774513
4,0.18240012343113238
5,0.1806934430049016
6,0.19616095607097334
7,0.18380214044680962
8,0.1840190371641746
9,0.1902486911186805
10,0.17590821935580328
11,0.2029790087388112
12,0.17435113627177018
13,0.1764419938509281
14,0.189517902640196
15,0.17472968995571136
16,0.18354624624435717
17,0.18951579126027915
18,0.17614879057957575
19,0.17289958550379828
20,0.16903765499591827
21,0.17932148965505454
22,0.16633815719531134
23,0.16813238538228548
24,0.17540681820649368
25,0.16223623546270224
26,0.1751872427188433
27,0.1743982182099269
28,0.2106923254636618
29,0.1841984551686507
30,0.1755479471041606
