Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.3874,4.5833,24.4886,3.2824,97.5666,15.1992,10.9749,1.303614916132864e+19
Timer,11.186,2.1413,30.3638,4.8338,67.8106,3.8388,5.162,2.631406203174912e+18
TimesFM,8.6613,2.9196,13.8802,3.1547,51.3437,4.0311,4.018,2.084032619741184e+17
Morai,4.7019,4.5493,19.1349,6.4126,18.2193,10.0481,4.1381,7.384585521122509e+18
Chronos,3.2799,3.8352,16.4546,2.7325,40.0043,4.6309,3.8582,4.4405241671581696e+18
My-MoE,5.2775,3.147,17.6947,3.2824,110.4016,15.1996,4.6888,1.303589232228434e+19
